tconst	averageRating	numVotes
tt0000001	5.7	2133
tt0000002	5.5	289
tt0000003	6.4	2169
tt0000004	5.3	184
tt0000005	6.2	2896
tt0000006	5	208
tt0000007	5.3	901
tt0000008	5.4	2280
tt0000009	5.3	220
tt0000010	6.8	7870
tt0000011	5.2	412
tt0000012	7.4	13369
tt0000013	5.7	2049
tt0000014	7.1	6098
tt0000015	6.1	1261
tt0000016	5.9	1645
tt0000017	4.6	375
tt0000018	5.2	656
tt0000019	5.2	33
tt0000020	4.7	408
tt0000022	5.1	1195
tt0000023	5.7	1571
tt0000024	3.8	154
tt0000025	4.2	49
tt0000026	5.6	1661
tt0000027	5.6	1258
tt0000028	5.1	1183
tt0000029	5.9	3649
tt0000030	5.2	954
tt0000031	5.5	1085
tt0000032	4.9	456
tt0000033	5.5	1121
tt0000034	4.8	246
tt0000035	5.5	86
tt0000036	4.4	649
tt0000037	4.4	78
tt0000038	4.1	229
tt0000039	3.7	34
tt0000040	4.2	79
tt0000041	6.7	2095
tt0000042	4.2	40
tt0000043	3.4	34
tt0000044	3.9	54
tt0000045	4	35
tt0000046	4.1	39
tt0000047	3.7	39
tt0000048	4.7	230
tt0000049	4.8	55
tt0000050	4.1	36
tt0000051	3.6	37
tt0000052	4.3	120
tt0000053	3.3	19
tt0000054	4.9	36
tt0000055	3.8	33
tt0000056	3	23
tt0000057	4.3	37
tt0000058	4.2	35
tt0000059	3.5	29
tt0000060	7.1	93
tt0000061	4.2	34
tt0000062	6.1	218
tt0000063	3.4	30
tt0000064	3.1	31
tt0000065	3.3	31
tt0000066	3.2	31
tt0000067	5.2	92
tt0000068	3.8	33
tt0000069	4.9	536
tt0000070	6.4	2871
tt0000071	3.4	31
tt0000072	3.6	29
tt0000073	3.5	32
tt0000074	4.6	33
tt0000075	6.3	2145
tt0000076	4.4	580
tt0000077	4.5	37
tt0000078	3.6	107
tt0000079	4.5	38
tt0000080	4.1	33
tt0000081	4.1	34
tt0000082	4.6	51
tt0000083	4.6	34
tt0000084	4.4	32
tt0000085	4.7	35
tt0000086	4.1	35
tt0000087	4.8	38
tt0000088	4.3	34
tt0000089	6.2	1093
tt0000090	4	33
tt0000091	6.7	4252
tt0000092	4.6	31
tt0000093	4.6	98
tt0000094	4.3	51
tt0000095	4.8	36
tt0000096	4.5	31
tt0000097	4.9	35
tt0000098	5.2	38
tt0000099	4.7	34
tt0000100	4.7	64
tt0000101	4.6	30
tt0000102	4.7	28
tt0000103	5.4	29
tt0000104	5.5	496
tt0000105	5	31
tt0000106	4.5	25
tt0000107	5.2	30
tt0000108	4.4	584
tt0000109	4.5	571
tt0000110	4.3	577
tt0000111	4.4	591
tt0000112	4.5	565
tt0000113	4.3	592
tt0000114	5.1	32
tt0000115	4.9	36
tt0000116	5.2	29
tt0000117	5	185
tt0000118	4.9	43
tt0000119	5	74
tt0000120	4.8	65
tt0000121	4.4	119
tt0000122	5.1	33
tt0000123	5.5	195
tt0000124	5.3	32
tt0000125	4.6	16
tt0000126	5.8	33
tt0000127	4.4	29
tt0000128	5.5	41
tt0000129	6.5	54
tt0000130	5.1	30
tt0000131	5.7	1616
tt0000132	5.1	1198
tt0000133	6.2	37
tt0000134	4.5	22
tt0000135	6.2	88
tt0000137	4.9	41
tt0000138	6.4	1299
tt0000139	5.3	28
tt0000140	4.9	337
tt0000141	5.1	135
tt0000142	5.1	32
tt0000143	5	296
tt0000144	5.2	361
tt0000145	3.5	14
tt0000146	5	27
tt0000147	5.3	549
tt0000148	3.3	16
tt0000149	4.8	23
tt0000150	5.4	195
tt0000151	4.6	73
tt0000152	6.2	311
tt0000153	5.7	554
tt0000154	3.6	17
tt0000155	5.2	30
tt0000156	3.9	25
tt0000157	3.9	16
tt0000158	3.1	16
tt0000159	5.1	160
tt0000160	5.2	28
tt0000161	3.6	15
tt0000162	5.4	505
tt0000163	5	14
tt0000164	5	338
tt0000165	4.7	147
tt0000166	3.6	19
tt0000167	4.1	168
tt0000168	2.9	18
